,Date,Close,Percentage_Increase_Decrease,Amount_Invested,return_on_investment
3172,2020-09-08,11317.349609375,-0.33201259317187093,137.0,1367804.5971122195
3173,2020-09-09,11278.0,-0.3476927967516641,138.0,1363186.8390544222
3174,2020-09-10,11449.25,1.5184429863450921,0.0,1383886.0540028235
3175,2020-09-11,11464.4501953125,0.13276149365679668,0.0,1385723.3217986259
3176,2020-09-14,11440.0498046875,-0.21283524468515003,82.0,1382856.0141760167
3177,2020-09-15,11521.7998046875,0.7145947910690342,0.0,1392737.8312213034
3178,2020-09-16,11604.5498046875,0.71820376506051,0.0,1402740.526762557
3179,2020-09-17,11516.099609375,-0.7622027291120936,287.0,1392335.8001852115
3180,2020-09-18,11504.9501953125,-0.09681588767627147,33.0,1391020.7979208278
3181,2020-09-21,11250.5498046875,-2.211225483867385,764.0,1361026.191551307
3182,2020-09-22,11153.650390625,-0.861286032635733,231.0,1349534.8630629615
3183,2020-09-23,11131.849609375,-0.19545871070447696,48.0,1346945.0796191113
3184,2020-09-24,10805.5498046875,-2.9312272096516434,707.0,1308170.0589462519
3185,2020-09-25,11050.25,2.2645788482354545,0.0,1337794.601400098
3186,2020-09-28,11227.5498046875,1.6044868187371275,0.0,1359259.3394413395
3187,2020-09-29,11222.400390625,-0.04586409458945395,1707.0,1360342.9274521822
3188,2020-09-30,11247.5498046875,0.2241001317642377,0.0,1363391.457745048
3189,2020-10-01,11416.9501953125,1.5061092732783665,0.0,1383925.6229212312
3190,2020-10-05,11503.349609375,0.7567643949079716,0.0,1394398.6792875074
3191,2020-10-06,11662.400390625,1.3826475474619793,0.0,1413678.2984285185
3192,2020-10-07,11738.849609375,0.6555187284725372,0.0,1422945.2244350694
3193,2020-10-08,11834.599609375,0.8156676606839941,0.0,1434551.7284600334
3194,2020-10-09,11914.2001953125,0.672609032539162,0.0,1444200.6529621023
3195,2020-10-12,11930.9501953125,0.14058853909966196,0.0,1446231.0335617694
3196,2020-10-13,11934.5,0.029752908438873682,0.0,1446661.3293569996
3197,2020-10-14,11971.0498046875,0.3062533385353339,0.0,1451091.7779754552
3198,2020-10-15,11680.349609375,-2.428360085835335,1214.0,1417068.044430261
3199,2020-10-16,11762.4501953125,0.7028949362235082,0.0,1427028.5439574027
3200,2020-10-19,11873.0498046875,0.9402769621849272,0.0,1440446.5646000372
3201,2020-10-20,11896.7998046875,0.2000328507897331,0.0,1443327.9309273094
3202,2020-10-21,11937.650390625,0.34337457642519276,0.0,1448283.9520965575
3203,2020-10-22,11896.4501953125,-0.34512817819539743,130.0,1443415.5160775904
3204,2020-10-23,11930.349609375,0.28495402835257977,0.0,1447528.5867365196
3205,2020-10-26,11767.75,-1.3629073304543216,498.0,1428298.1135174658
3206,2020-10-27,11889.400390625,1.0337608346965288,0.0,1443063.3000177187
3207,2020-10-28,11729.599609375,-1.34406089457636,424.0,1424091.6505181973
3208,2020-10-29,11670.7998046875,-0.5012942184360991,137.0,1417089.7614089183
3209,2020-10-30,11642.400390625,-0.24333734223676018,2597.0,1416238.4528463965
3210,2020-11-02,11669.150390625,0.2297636149117599,0.0,1419492.4535114267
3211,2020-11-03,11813.5,1.237019016319918,0.0,1437051.8450965893
3212,2020-11-04,11908.5,0.8041647267956087,0.0,1448608.1091406215
3213,2020-11-05,12120.2998046875,1.7785598915690537,0.0,1474372.4719558135
3214,2020-11-06,12263.5498046875,1.1819014571289532,0.0,1491798.1016853673
3215,2020-11-09,12461.0498046875,1.6104635537461442,0.0,1515822.966408487
3216,2020-11-10,12631.099609375,1.364650710436388,0.0,1536508.6552885382
3217,2020-11-11,12749.150390625,0.9346041508720315,0.0,1550868.928959373
3218,2020-11-12,12690.7998046875,-0.45768215253314537,228.0,1543998.8786623438
3219,2020-11-13,12719.9501953125,0.2296970330761372,0.0,1547545.39827736
3220,2020-11-17,12874.2001953125,1.2126619808373373,0.0,1566311.8929584674
3221,2020-11-18,12938.25,0.4975051165572175,0.0,1574104.3747671798
3222,2020-11-19,12771.7001953125,-1.287266861341374,614.0,1554455.4507878772
3223,2020-11-20,12859.0498046875,0.683930941371913,0.0,1565086.8525856577
3224,2020-11-23,12926.4501953125,0.5241475198302092,0.0,1573290.2165066742
3225,2020-11-24,13055.150390625,0.9956344809897599,0.0,1588954.436388253
3226,2020-11-25,12858.400390625,-1.5070680468092346,626.0,1565633.8117990878
3227,2020-11-26,12987.0,1.0001213639976747,0.0,1581292.0500328615
3228,2020-11-27,12968.9501953125,-0.1389836350773832,3532.0,1582626.3128605362
3229,2020-12-01,13109.0498046875,1.0802694687318537,0.0,1599722.9417224852
3230,2020-12-02,13113.75,0.03585458429504751,0.0,1600296.5157331123
3231,2020-12-03,13133.900390625,0.15365849299400214,0.0,1602755.5072426235
3232,2020-12-04,13258.5498046875,0.9490662358873525,0.0,1617966.7186056883
3233,2020-12-07,13355.75,0.7331133249439903,0.0,1629828.2482129456
3234,2020-12-08,13392.9501953125,0.2785331809333158,0.0,1634367.860676443
3235,2020-12-09,13529.099609375,1.0165752285866914,0.0,1650982.439492062
